M. Verstappen,Red Bull Racing,1:48:51.980,25
F. Alonso,Aston Martin Racing,1:49:19.901,18
E. Ocon,Alpine,1:49:28.970,15
C. Sainz,Ferrari,1:49:37.371,4
L. Hamilton,Mercedes,1:49:31.042,12
C. Leclerc,Ferrari,1:49:34.870,8
P. Gasly,Alpine,1:49:35.342,6
G. Russell,Mercedes,1:49:33.264,10
Y. Tsunoda,AlphaTauri,1:49:50.525,0
L. Norris,McLaren F1,1:49:38.041,2
O. Piastri,McLaren F1,1:49:40.939,1
N. de Vries,Red Bull Racing,1:49:45.297,0
A. Albon,Williams,1:49:48.190,0
L. Stroll,Aston Martin Racing,0,0
V. Bottas,Alfa Romeo,1:49:43.943,0
L. Sargeant,Williams,1:50:09.963,0
K. Magnussen,Haas F1 Team,0,0
N. Hulkenberg,Haas F1 Team,1:50:07.486,0
G. Zhou,Alfa Romeo,1:49:46.832,0
S. P̩rez,Red Bull Racing,1:49:55.004,0
